Path;Name_German;Name_English;Season;Episode;EpisodeAll;IsExtra
SG1/Season3/%lang%/S03E20;Harsesis’ Rettung;Maternal Instinct;3;20;64;0
SG1/Season3/%lang%/S03E21;Der Kristallschädel;Crystal Skull;3;21;65;0
SG1/Season3/%lang%/S03E22;Nemesis, Teil 1;Nemesis;3;22;66;0
SG1/Season3/%lang%/S03X01;;Timeline to the future - Part 1 - Legacy of the Gate;3;0;0;1
SG1/Season3/%lang%/S03X02;;Timeline to the future - Part 2 - Secrets of the Gate;3;0;0;1
SG1/Season3/%lang%/S03X03;;Timeline to the future - Part 3 - Beyond the Gate;3;0;0;1

SG1/Season4/%lang%/S04E01;Nemesis, Teil 2;Small Victories;4;1;67;0
SG1/Season4/%lang%/S04E02;Die andere Seite der Medaille;The other Side;4;2;68;0
SG1/Season4/%lang%/S04E03;Das Vermächtnis der Ataniker;Upgrades;4;3;69;0
SG1/Season4/%lang%/S04E04;Shan'aucs Opfer;Crossroads;4;4;70;0
SG1/Season4/%lang%/S04E05;Gipfeltreffen;Divide and Conquer;4;5;71;0
SG1/Season4/%lang%/S04E06;Kein Ende in Sicht;Window of Opportunity;4;6;72;0
SG1/Season4/%lang%/S04E07;Der Planet des Wassers;Watergate;4;7;73;0
SG1/Season4/%lang%/S04E08;Die Unas;The first Ones;4;8;74;0
SG1/Season4/%lang%/S04E09;Die Enkaraner;Scorched Earth;4;9;75;0
SG1/Season4/%lang%/S04E10;Der Planet der Eiszeit;Beneath the Surface;4;10;76;0
SG1/Season4/%lang%/S04E11;Kein Zurück;Point of no Return;4;11;77;0
SG1/Season4/%lang%/S04E12;Rettung im All;Tangent;4;12;78;0
SG1/Season4/%lang%/S04E13;Die Rückkehr des Osiris;The Curse;4;13;79;0
SG1/Season4/%lang%/S04E14;Die verhinderte Allianz;Serpent's Venom;4;14;80;0
SG1/Season4/%lang%/S04E15;Kettenreaktion;Chain Reaction;4;15;81;0
SG1/Season4/%lang%/S04E16;2010;2010;4;16;82;0
SG1/Season4/%lang%/S04E17;Unbegrenztes Wissen;Absolute Power;4;17;83;0
SG1/Season4/%lang%/S04E18;Das Licht;The Light;4;18;84;0
SG1/Season4/%lang%/S04E19;Das Wunder;Prodigy;4;19;85;0
SG1/Season4/%lang%/S04E20;Die falsche Wahl;Entity / Child's Play;4;20;86;0
SG1/Season4/%lang%/S04E21;Doppelter Einsatz;Double Jeopardy;4;21;87;0
SG1/Season4/%lang%/S04E22;Exodus;Exodus;4;22;88;0
SG1/Season4/%lang%/S04X01;;Inside 'The Tomb' with Peter DeLuise;4;0;0;1

SG1/Season5/%lang%/S05E01;Todfeinde;Enemies;5;1;89;0
SG1/Season5/%lang%/S05E02;Teal'cs Prüfung;Threshold;5;2;90;0
SG1/Season5/%lang%/S05E03;Das Opfer;Ascencion;5;3;91;0
SG1/Season5/%lang%/S05E04;Der fünfte Mann;The fifth Man;5;4;92;0
SG1/Season5/%lang%/S05E05;Roter Himmel;Red Sky;5;5;93;0
SG1/Season5/%lang%/S05E06;Das Übergangsritual;The Rite of Passage;5;6;94;0
SG1/Season5/%lang%/S05E07;Chaka;Beast of Burden;5;7;95;0
SG1/Season5/%lang%/S05E08;Das Tempelgrab;The Tomb;5;8;96;0
SG1/Season5/%lang%/S05E09;Der Kampf der Tollaner;Between two Fires;5;9;97;0
SG1/Season5/%lang%/S05E10;2001;2001;5;10;98;0
SG1/Season5/%lang%/S05E11;Verzweiflungstat;Desperate Measures;5;11;99;0
SG1/Season5/%lang%/S05E12;Wurmloch Extrem;Wormhole X-Treme;5;12;100;0
SG1/Season5/%lang%/S05E13;Bewährungsprobe;Proving Ground;5;13;101;0
SG1/Season5/%lang%/S05E14;48 Stunden;48 Hours;5;14;102;0
SG1/Season5/%lang%/S05E15;Neue Zeiten;Summit;5;15;103;0
SG1/Season5/%lang%/S05E16;Elliots große Mission;Last Stand;5;16;104;0
SG1/Season5/%lang%/S05E17;Das Ende der Welt;Fail Safe;5;17;105;0
SG1/Season5/%lang%/S05E18;Die Jaffa-Rebellion;The Warrior;5;18;106;0
SG1/Season5/%lang%/S05E19;Reese;Menace;5;19;107;0
SG1/Season5/%lang%/S05E20;Der Wächter;The Sentinel;5;20;108;0
SG1/Season5/%lang%/S05E21;Die Entscheidung;Meridian;5;21;109;0
SG1/Season5/%lang%/S05E22;Das Geheimnis der Asgard;Revelations;5;22;110;0

SG1/Season6/%lang%/S06E01;Die Wiedergutmachung, Teil 1;Redemption, part 1;6;1;111;0
SG1/Season6/%lang%/S06E02;Die Wiedergutmachung, Teil 2;Redemption, part 2;6;2;112;0
SG1/Season6/%lang%/S06E03;Notlandung;Descent;6;3;113;0
SG1/Season6/%lang%/S06E04;Virus aus dem Eis;Frozen;6;4;114;0
SG1/Season6/%lang%/S06E05;In den Händen der Goa’uld;Nightwalkers;6;5;115;0
SG1/Season6/%lang%/S06E06;Am Abgrund;Abyss;6;6;116;0
SG1/Season6/%lang%/S06E07;Ein übermächtiger Feind;Shadow Play;6;7;117;0
SG1/Season6/%lang%/S06E08;Wahre Helden;The other Guys;6;8;118;0
SG1/Season6/%lang%/S06E09;Das Bündnis;Allegiance;6;9;119;0
SG1/Season6/%lang%/S06E10;Heilung;Cure;6;10;120;0
SG1/Season6/%lang%/S06E11;Prometheus;Prometheus;6;11;121;0
SG1/Season6/%lang%/S06E12;Unnatürliche Auslese;Unnatural Selection;6;12;122;0
SG1/Season6/%lang%/S06E13;Die Unsichtbaren;Sight unseen;6;13;123;0
SG1/Season6/%lang%/S06E14;Das Machtkartell;Smoke and Mirrors;6;14;124;0
SG1/Season6/%lang%/S06E15;Das Verlorene Paradies;Paradise Lost;6;15;125;0
SG1/Season6/%lang%/S06E16;Metamorphose;Metamorphosis;6;16;126;0
SG1/Season6/%lang%/S06E17;Enthüllung;Disclosure;6;17;127;0
SG1/Season6/%lang%/S06E18;Gestrandet;Forsaken;6;18;128;0
SG1/Season6/%lang%/S06E19;Hilfe aus der Traumwelt;The Changeling;6;19;129;0
SG1/Season6/%lang%/S06E20;Vergangenheit;Memento;6;20;130;0
SG1/Season6/%lang%/S06E21;Jonas’ Visionen;Prophecy;6;21;131;0
SG1/Season6/%lang%/S06E22;Der Kreis schließt sich;Full Circle;6;22;132;0

SG1/Season7/%lang%/S07E01;Alles auf eine Karte, Teil 1;Fallen;7;1;133;0
SG1/Season7/%lang%/S07E02;Alles auf eine Karte, Teil 2;Homecoming;7;2;134;0
SG1/Season7/%lang%/S07E03;Der falsche Klon;Fragile Balance;7;3;135;0
SG1/Season7/%lang%/S07E04;Orpheus;Orpheus;7;4;136;0
SG1/Season7/%lang%/S07E05;Die Macht des Speichers;Revisions;7;5;137;0
SG1/Season7/%lang%/S07E06;Das Rettungsboot;Lifeboat;7;6;138;0
SG1/Season7/%lang%/S07E07;Die Naquadah-Mine;Enemy Mine;7;7;139;0
SG1/Season7/%lang%/S07E08;Space-Rennen;Space Race;7;8;140;0
SG1/Season7/%lang%/S07E09;Avenger 2.0;Avenger 2.0;7;9;141;0
SG1/Season7/%lang%/S07E10;Die Hak’tyl;Birthright;7;10;142;0
SG1/Season7/%lang%/S07E11;Evolution, Teil 1;Evolution, part 1;7;11;143;0
SG1/Season7/%lang%/S07E12;Evolution, Teil 2;Evolution, part 2;7;12;144;0
SG1/Season7/%lang%/S07E13;Grace;Grace;7;13;145;0
SG1/Season7/%lang%/S07E14;Kiannas Symbiont;Fallout;7;14;146;0
SG1/Season7/%lang%/S07E15;Daniels Träume;Chimera;7;15;147;0
SG1/Season7/%lang%/S07E16;Bote des Todes;Death Knell;7;16;148;0
SG1/Season7/%lang%/S07E17;Helden, Teil 1;Heroes, part 1;7;17;149;0
SG1/Season7/%lang%/S07E18;Helden, Teil 2;Heroes, part 2;7;18;150;0
SG1/Season7/%lang%/S07E19;Anna;Resurrection;7;19;151;0
SG1/Season7/%lang%/S07E20;Der Neue Präsident;Inauguration;7;20;152;0
SG1/Season7/%lang%/S07E2122;Die verlorene Stadt;Lost City;7;21 & 22;153 & 154;0

SG1/Season8/%lang%/S08E0102;Neue Machtverhältnisse;New Order;8;1 & 2;155 & 156;0
SG1/Season8/%lang%/S08E03;Colonel Vaselov;Lockdown;8;3;157;0
SG1/Season8/%lang%/S08E04;Stunde der Bewährung;Zero Hour;8;4;158;0
SG1/Season8/%lang%/S08E05;Soren;Icon;8;5;159;0
SG1/Season8/%lang%/S08E06;Avatar;Avatar;8;6;160;0
SG1/Season8/%lang%/S08E07;Affinität;Affinity;8;7;161;0
SG1/Season8/%lang%/S08E08;Colson;Covenant;8;8;162;0
SG1/Season8/%lang%/S08E09;Die Vertreibung;Sacrifices;8;9;163;0
SG1/Season8/%lang%/S08E10;Endspiel;Endgame;8;10;164;0
SG1/Season8/%lang%/S08E11;Gemini;Gemini;8;11;165;0
SG1/Season8/%lang%/S08E12;Vala;Prometheus Unbound;8;12;166;0
SG1/Season8/%lang%/S08E13;König Arkhan;It’s good to be King;8;13;167;0
SG1/Season8/%lang%/S08E14;Konfrontation;Full Alert;8;14;168;0
SG1/Season8/%lang%/S08E15;Joe;Citizen Joe;8;15;169;0
SG1/Season8/%lang%/S08E16;Abrechnung, Teil 1;Reckoning, part 1;8;16;170;0
SG1/Season8/%lang%/S08E17;Abrechnung, Teil 2;Reckoning, part 2;8;17;171;0
SG1/Season8/%lang%/S08E18;Jim;Threads;8;18;172;0
SG1/Season8/%lang%/S08E19;Möbius, Teil 1;Moebius, part 1;8;19;173;0
SG1/Season8/%lang%/S08E20;Möbius, Teil 2;Moebius, part 2;8;20;174;0

Atlantis/Season1/%lang%/S01E0102;Aufbruch in eine neue Welt;Rising;9;1 & 2;1 & 2;0
Atlantis/Season1/%lang%/S01E03;Dunkle Schatten;Hide and Seek;9;3;3;0
Atlantis/Season1/%lang%/S01E04;38 Minuten;Thirty-Eight Minutes;9;4;4;0
Atlantis/Season1/%lang%/S01E05;Unter Verdacht;Suspicion;9;5;5;0
Atlantis/Season1/%lang%/S01E06;Selbstopfer;Childhood's End;9;6;6;0
Atlantis/Season1/%lang%/S01E07;Tödliche Verteidigung;Poisoning the Well;9;7;7;0
Atlantis/Season1/%lang%/S01E08;Im Untergrund;Underground;9;8;8;0
Atlantis/Season1/%lang%/S01E09;Zurück auf die Erde;Home;9;9;9;0
Atlantis/Season1/%lang%/S01E10;Der Sturm (1);The Storm (1);9;10;10;0
Atlantis/Season1/%lang%/S01E11;Das Auge (2);The Eye (2);9;11;11;0
Atlantis/Season1/%lang%/S01E12;Der Überlebende;The Defiant One;9;12;12;0
Atlantis/Season1/%lang%/S01E13;Hot Zone;Hot Zone;9;13;13;0
Atlantis/Season1/%lang%/S01E14;Chaya;Sanctuary;9;14;14;0
Atlantis/Season1/%lang%/S01E15;10.000 Jahre;Before I Sleep;9;15;15;0
Atlantis/Season1/%lang%/S01E16;Bruderschaft;The Brotherhood;9;16;16;0
Atlantis/Season1/%lang%/S01E17;Nachrichten aus der Pegasus Galaxie;Letters from Pegasus;9;17;17;0
Atlantis/Season1/%lang%/S01E18;Die Gabe;The Gift;9;18;18;0
Atlantis/Season1/%lang%/S01E19;Die Belagerung (Teil 1);The Siege (Part One);9;19;19;0
Atlantis/Season1/%lang%/S01E20;Die Belagerung (Teil 2);The Siege (Part Two);9;20;20;0

SG1/Season9/%lang%/S09E01;Avalon, Teil 1;Avalon, part 1;10;1;175;0
SG1/Season9/%lang%/S09E02;Avalon, Teil 2;Avalon, part 2;10;2;176;0
SG1/Season9/%lang%/S09E03;Die Herkunft (DVD) / Das Geheimnis der Ori (TV);Origin;10;3;177;0
SG1/Season9/%lang%/S09E04;Unsichtbare Fesseln;The Ties that bind;10;4;178;0
SG1/Season9/%lang%/S09E05;Höhere Mächte (DVD) / Machtspiele (TV);The Powers that be;10;5;179;0
SG1/Season9/%lang%/S09E06;Das Schutzschild (DVD) / Der Brückenkopf (TV);Beachhead;10;6;180;0
SG1/Season9/%lang%/S09E07;Ex-Deus Machina;Ex-Deus Machina;10;7;181;0
SG1/Season9/%lang%/S09E08;Babylon;Babylon;10;8;182;0
SG1/Season9/%lang%/S09E09;Der Prototyp;Prototype;10;9;183;0
SG1/Season9/%lang%/S09E10;Der apokalyptische Reiter, Teil 1 (DVD) / Die Rückkehr von Orlin, Teil 1 (TV);The fourth Horseman, part 1;10;10;184;0
SG1/Season9/%lang%/S09E11;Der apokalyptische Reiter, Teil 2 (DVD) / Die Rückkehr von Orlin, Teil 2 (TV);The fourth Horseman, part 2;10;11;185;0
SG1/Season9/%lang%/S09E12;Kollateralschaden;Collateral Damage;10;12;186;0
SG1/Season9/%lang%/S09E13;Der Ripple-Effekt (DVD) / Parallelwelten (TV);Ripple Effect;10;13;187;0
SG1/Season9/%lang%/S09E14;Die Festung (DVD) / Das Referendum (TV);Stronghold;10;14;188;0
SG1/Season9/%lang%/S09E15;Ethon;Ethon;10;15;189;0
SG1/Season9/%lang%/S09E16;Ohne Netz (DVD) / Das verschwundene Stargate (TV);Off the Grid;10;16;190;0
SG1/Season9/%lang%/S09E17;Die Plage / Die Käferplage (TV);The Scourge;10;17;191;0
SG1/Season9/%lang%/S09E18;Arthurs Umhang / Neue Dimensionen (TV);Arthur's Mantle;10;18;192;0
SG1/Season9/%lang%/S09E19;Der Kreuzzug;Crusade;10;19;193;0
SG1/Season9/%lang%/S09E20;Camelot;Camelot;10;20;194;0

Atlantis/Season2/%lang%/S02E01;Die Belagerung (Teil 3);The Siege (Part Three);11;1;21;0
Atlantis/Season2/%lang%/S02E02;Der Eindringling;The Intruder;11;2;22;0
Atlantis/Season2/%lang%/S02E03;Der Läufer (DVD) / Dromoys (RTL 2);Runner;11;3;23;0
Atlantis/Season2/%lang%/S02E04;Duett;Duet;11;4;24;0
Atlantis/Season2/%lang%/S02E05;Verurteilt;Condemned;11;5;25;0
Atlantis/Season2/%lang%/S02E06;Dreifaltigkeit (DVD) / Das Geheimnis der Antiker (RTL 2);Trinity;11;6;26;0
Atlantis/Season2/%lang%/S02E07;Instinkt;Instinct;11;7;27;0
Atlantis/Season2/%lang%/S02E08;Die Verwandlung;Conversion;11;8;28;0
Atlantis/Season2/%lang%/S02E09;Aurora;Aurora;11;9;29;0
Atlantis/Season2/%lang%/S02E10;Die verlorenen Männer (DVD) / Das Enzym (RTL 2);The Lost Boys;11;10;30;0
Atlantis/Season2/%lang%/S02E11;Bienenstock (DVD) / Im Netz der Königin (RTL 2);The Hive;11;11;31;0
Atlantis/Season2/%lang%/S02E12;Offenbarung (DVD) / Epiphanie (RTL 2);Epiphany;11;12;32;0
Atlantis/Season2/%lang%/S02E13;Kritische Masse (DVD) / Die Goa’uld schlagen zu (RTL 2);Critical Mass;11;13;33;0
Atlantis/Season2/%lang%/S02E14;Unter Druck (DVD) / Halluzinationen (RTL 2);Grace Under Pressure;11;14;34;0
Atlantis/Season2/%lang%/S02E15;Der Turm;The Tower;11;15;35;0
Atlantis/Season2/%lang%/S02E16;Der lange Abschied (DVD) / Phoebus und Thalan (RTL 2);The Long Goodbye;11;16;36;0
Atlantis/Season2/%lang%/S02E17;Coup D’etat (DVD) / Der Staatsstreich (RTL 2);Coup D’etat;11;17;37;0
Atlantis/Season2/%lang%/S02E18;Michael;Michael;11;18;38;0
Atlantis/Season2/%lang%/S02E19;Inferno;Inferno;11;19;39;0
Atlantis/Season2/%lang%/S02E20;Die Verbündeten (DVD) / Das Bündnis (RTL 2);Allies;11;20;40;0

SG1/Season10/%lang%/S10E01;Fleisch und Blut;Flesh and Blood;12;1;195;0
SG1/Season10/%lang%/S10E02;In Morpheus Armen;Morpheus;12;2;196;0
SG1/Season10/%lang%/S10E03;Das Pegasus-Prinzip;The Pegasus Project;12;3;197;0
SG1/Season10/%lang%/S10E04;Insiderwissen;Insiders;12;4;198;0
SG1/Season10/%lang%/S10E05;Mutanten;Uninvited;12;5;199;0
SG1/Season10/%lang%/S10E06;200;200;12;6;200;0
SG1/Season10/%lang%/S10E07;Adrias Macht;Counter-Strike;12;7;201;0
SG1/Season10/%lang%/S10E08;Tödliche Erinnerungen;Memento Mori;12;8;202;0
SG1/Season10/%lang%/S10E09;Die Kriegserklärung;Company of Thieves;12;9;203;0
SG1/Season10/%lang%/S10E10;Die Suche, Teil 1;Quest, part 1;12;10;204;0
SG1/Season10/%lang%/S10E11;Die Suche, Teil 2;Quest, part 2;12;11;205;0
SG1/Season10/%lang%/S10E12;Die Linie im Sand;Line in the Sand;12;12;206;0
SG1/Season10/%lang%/S10E13;Die Parallelwelt;The Road not taken;12;13;207;0
SG1/Season10/%lang%/S10E14;Daniel, der Prior;The Shroud;12;14;208;0
SG1/Season10/%lang%/S10E15;Der Kopfgeldjäger;Bounty;12;15;209;0
SG1/Season10/%lang%/S10E16;Die Geiselnahme;Bad Guys;12;16;210;0
SG1/Season10/%lang%/S10E17;Rache muss sein;Talion;12;17;211;0
SG1/Season10/%lang%/S10E18;Familienbande;Family Ties;12;18;212;0
SG1/Season10/%lang%/S10E19;Ba’als letztes Gefecht;Dominion;12;19;213;0
SG1/Season10/%lang%/S10E20;Endlosigkeit;Unending;12;20;214;0

Atlantis/Season3/%lang%/S03E01;Niemandsland;No Man's Land;13;1;41;0
Atlantis/Season3/%lang%/S03E02;Ein schlechter Plan;Misbegotten;13;2;42;0
Atlantis/Season3/%lang%/S03E03;Der Zaubertrank;Irresistible;13;3;43;0
Atlantis/Season3/%lang%/S03E04;Sateda;Sateda;13;4;44;0
Atlantis/Season3/%lang%/S03E05;Der Bruderstreit;Progeny;13;5;45;0
Atlantis/Season3/%lang%/S03E06;Atlantis ruft;The Real World;13;6;46;0
Atlantis/Season3/%lang%/S03E07;Ein ungewöhnlicher Verbündeter;Common Ground;13;7;47;0
Atlantis/Season3/%lang%/S03E08;Der doppelte Rodney;McKay and Mrs. Miller 	;13;8;48;0
Atlantis/Season3/%lang%/S03E09;Phantome;Phantoms;13;9;49;0
Atlantis/Season3/%lang%/S03E10;Die Rückkehr (Teil 1);The Return (Part 1);13;10;50;0
Atlantis/Season3/%lang%/S03E11;Die Rückkehr (Teil 2);The Return (Part 2);13;11;51;0
Atlantis/Season3/%lang%/S03E12;Die Warnung;Echoes;13;12;52;0
Atlantis/Season3/%lang%/S03E13;Kolyas Ende;Irresponsible;13;13;53;0
Atlantis/Season3/%lang%/S03E14;Rodneys Tao;Tao of Rodney;13;14;54;0
Atlantis/Season3/%lang%/S03E15;Das Spiel;The Game;13;15;55;0
Atlantis/Season3/%lang%/S03E16;Die Arche;The Ark;13;16;56;0
Atlantis/Season3/%lang%/S03E17;Ein freier Tag;Sunday;13;17;57;0
Atlantis/Season3/%lang%/S03E18;Untergetaucht;Submersion;13;18;58;0
Atlantis/Season3/%lang%/S03E19;Rache;Vengeance;13;19;59;0
Atlantis/Season3/%lang%/S03E20;Der Angriff;First Strike;13;20;60;0

Atlantis/Season4/%lang%/S04E01;Verloren im All;Adrift;14;1;61;0
Atlantis/Season4/%lang%/S04E02;Rettungsleine;Lifeline;14;2;62;0
Atlantis/Season4/%lang%/S04E03;Das Wiedersehen;Reunion;14;3;63;0
Atlantis/Season4/%lang%/S04E04;Doppelgänger;Doppelganger;14;4;64;0
Atlantis/Season4/%lang%/S04E05;Reisende;Travelers;14;5;65;0
Atlantis/Season4/%lang%/S04E06;Tabula Rasa;Tabula Rasa;14;6;66;0
Atlantis/Season4/%lang%/S04E07;Verschollen;Missing;14;7;67;0
Atlantis/Season4/%lang%/S04E08;Der Seher;The Seer;14;8;68;0
Atlantis/Season4/%lang%/S04E09;Fehlentscheidung;Miller's Crossing;14;9;69;0
Atlantis/Season4/%lang%/S04E10;Die Mühsal der Sterblichen;This Mortal Coil;14;10;70;0
Atlantis/Season4/%lang%/S04E11;Große und kleine Sünden;Be all my sins remember'd;14;11;71;0
Atlantis/Season4/%lang%/S04E12;Kriegsbeute;Spoils of War;14;12;72;0
Atlantis/Season4/%lang%/S04E13;Quarantäne;Quarantine;14;13;73;0
Atlantis/Season4/%lang%/S04E14;Prinzessin Harmony;Harmony;14;14;74;0
Atlantis/Season4/%lang%/S04E15;Die Ausgestoßene;Outcast;14;15;75;0
Atlantis/Season4/%lang%/S04E16;Trio;Trio;14;16;76;0
Atlantis/Season4/%lang%/S04E17;Auf der Mittelstation;Midway;14;17;77;0
Atlantis/Season4/%lang%/S04E18;Verwandte (Teil 1);The Kindred (Part 1);14;18;78;0
Atlantis/Season4/%lang%/S04E19;Verwandte (Teil 2);The Kindred (Part 2);14;19;79;0
Atlantis/Season4/%lang%/S04E20;Der letzte Mann;The Last Man;14;20;80;0

Movies/%lang/The_Ark_of_Truth;Die Quelle der Wahrheit;The Ark of Truth;15;1;1;0
Movies/%lang%/Continuum;Stargate: Continuum;Stargate: Continuum;15;2;2;0

Atlantis/Season5/%lang%/S05E01;Such- und Rettungsaktion;Search and Rescue;16;1;81;0
Atlantis/Season5/%lang%/S05E02;Der Keim;The Seed;16;2;82;0
Atlantis/Season5/%lang%/S05E03;Gelöste Fesseln;Broken Ties;16;3;83;0
Atlantis/Season5/%lang%/S05E04;Die Daedalus-Variationen;The Daedalus Variations;16;4;84;0
Atlantis/Season5/%lang%/S05E05;Geist in der Maschine;Ghost in the Machine;16;5;85;0
Atlantis/Season5/%lang%/S05E06;Der Schrein;The Shrine;16;6;86;0
Atlantis/Season5/%lang%/S05E07;Geflüster;Whispers;16;7;87;0
Atlantis/Season5/%lang%/S05E08;Die Königin;The Queen;16;8;88;0
Atlantis/Season5/%lang%/S05E09;Fährtensucher;Tracker;16;9;89;0
Atlantis/Season5/%lang%/S05E10;Erster Kontakt;First Contact;16;10;90;0
Atlantis/Season5/%lang%/S05E11;Der verlorene Stamm;The Lost Tribe;16;11;91;0
Atlantis/Season5/%lang%/S05E12;Außenseiter;Outsiders;16;12;92;0
Atlantis/Season5/%lang%/S05E13;Inquisition;Inquisition;16;13;93;0
Atlantis/Season5/%lang%/S05E14;Mutterliebe;Prodigal;16;14;94;0
Atlantis/Season5/%lang%/S05E15;Überreste;Remnants;16;15;95;0
